year,city,avg_temp
1843,Abu Dhabi,26.04
1844,Abu Dhabi,26.26
1845,Abu Dhabi,
1846,Abu Dhabi,
1847,Abu Dhabi,
1848,Abu Dhabi,25.83
1849,Abu Dhabi,26.01
1850,Abu Dhabi,25.69
1851,Abu Dhabi,26.25
1852,Abu Dhabi,
1853,Abu Dhabi,
1854,Abu Dhabi,
1855,Abu Dhabi,
1856,Abu Dhabi,
1857,Abu Dhabi,
1858,Abu Dhabi,
1859,Abu Dhabi,
1860,Abu Dhabi,
1861,Abu Dhabi,25.10
1862,Abu Dhabi,25.34
1863,Abu Dhabi,23.62
1864,Abu Dhabi,26.00
1865,Abu Dhabi,26.26
1866,Abu Dhabi,26.09
1867,Abu Dhabi,26.44
1868,Abu Dhabi,26.33
1869,Abu Dhabi,26.51
1870,Abu Dhabi,26.24
1871,Abu Dhabi,26.17
1872,Abu Dhabi,26.16
1873,Abu Dhabi,26.42
1874,Abu Dhabi,26.30
1875,Abu Dhabi,26.13
1876,Abu Dhabi,26.19
1877,Abu Dhabi,26.59
1878,Abu Dhabi,26.59
1879,Abu Dhabi,26.09
1880,Abu Dhabi,26.20
1881,Abu Dhabi,26.75
1882,Abu Dhabi,26.05
1883,Abu Dhabi,26.30
1884,Abu Dhabi,26.15
1885,Abu Dhabi,26.10
1886,Abu Dhabi,26.38
1887,Abu Dhabi,26.08
1888,Abu Dhabi,26.30
1889,Abu Dhabi,26.61
1890,Abu Dhabi,26.20
1891,Abu Dhabi,26.43
1892,Abu Dhabi,26.55
1893,Abu Dhabi,26.36
1894,Abu Dhabi,26.24
1895,Abu Dhabi,25.98
1896,Abu Dhabi,26.36
1897,Abu Dhabi,26.29
1898,Abu Dhabi,25.92
1899,Abu Dhabi,26.57
1900,Abu Dhabi,26.43
1901,Abu Dhabi,26.53
1902,Abu Dhabi,26.81
1903,Abu Dhabi,25.88
1904,Abu Dhabi,26.49
1905,Abu Dhabi,26.30
1906,Abu Dhabi,26.24
1907,Abu Dhabi,26.17
1908,Abu Dhabi,26.34
1909,Abu Dhabi,26.57
1910,Abu Dhabi,25.89
1911,Abu Dhabi,25.62
1912,Abu Dhabi,26.35
1913,Abu Dhabi,26.45
1914,Abu Dhabi,26.56
1915,Abu Dhabi,26.90
1916,Abu Dhabi,25.90
1917,Abu Dhabi,26.04
1918,Abu Dhabi,26.03
1919,Abu Dhabi,26.24
1920,Abu Dhabi,26.20
1921,Abu Dhabi,26.06
1922,Abu Dhabi,26.77
1923,Abu Dhabi,26.32
1924,Abu Dhabi,27.03
1925,Abu Dhabi,26.26
1926,Abu Dhabi,26.65
1927,Abu Dhabi,26.35
1928,Abu Dhabi,26.34
1929,Abu Dhabi,26.60
1930,Abu Dhabi,26.38
1931,Abu Dhabi,26.54
1932,Abu Dhabi,26.23
1933,Abu Dhabi,26.06
1934,Abu Dhabi,26.17
1935,Abu Dhabi,26.44
1936,Abu Dhabi,26.24
1937,Abu Dhabi,26.22
1938,Abu Dhabi,26.29
1939,Abu Dhabi,26.13
1940,Abu Dhabi,26.49
1941,Abu Dhabi,26.88
1942,Abu Dhabi,26.87
1943,Abu Dhabi,26.42
1944,Abu Dhabi,26.89
1945,Abu Dhabi,26.45
1946,Abu Dhabi,26.60
1947,Abu Dhabi,26.85
1948,Abu Dhabi,26.69
1949,Abu Dhabi,26.29
1950,Abu Dhabi,25.97
1951,Abu Dhabi,26.69
1952,Abu Dhabi,26.68
1953,Abu Dhabi,26.89
1954,Abu Dhabi,26.89
1955,Abu Dhabi,26.62
1956,Abu Dhabi,26.56
1957,Abu Dhabi,26.26
1958,Abu Dhabi,26.89
1959,Abu Dhabi,26.43
1960,Abu Dhabi,26.66
1961,Abu Dhabi,26.57
1962,Abu Dhabi,26.75
1963,Abu Dhabi,26.61
1964,Abu Dhabi,25.89
1965,Abu Dhabi,26.63
1966,Abu Dhabi,26.76
1967,Abu Dhabi,26.47
1968,Abu Dhabi,26.20
1969,Abu Dhabi,27.09
1970,Abu Dhabi,27.24
1971,Abu Dhabi,26.47
1972,Abu Dhabi,26.16
1973,Abu Dhabi,26.54
1974,Abu Dhabi,26.46
1975,Abu Dhabi,26.49
1976,Abu Dhabi,26.43
1977,Abu Dhabi,27.43
1978,Abu Dhabi,26.89
1979,Abu Dhabi,26.96
1980,Abu Dhabi,27.16
1981,Abu Dhabi,26.93
1982,Abu Dhabi,26.16
1983,Abu Dhabi,26.19
1984,Abu Dhabi,26.29
1985,Abu Dhabi,26.63
1986,Abu Dhabi,26.70
1987,Abu Dhabi,26.91
1988,Abu Dhabi,26.95
1989,Abu Dhabi,26.38
1990,Abu Dhabi,27.11
1991,Abu Dhabi,26.46
1992,Abu Dhabi,26.10
1993,Abu Dhabi,27.02
1994,Abu Dhabi,27.25
1995,Abu Dhabi,26.75
1996,Abu Dhabi,27.20
1997,Abu Dhabi,26.87
1998,Abu Dhabi,28.19
1999,Abu Dhabi,28.16
2000,Abu Dhabi,27.67
2001,Abu Dhabi,27.82
2002,Abu Dhabi,28.00
2003,Abu Dhabi,28.12
2004,Abu Dhabi,28.07
2005,Abu Dhabi,27.90
2006,Abu Dhabi,27.94
2007,Abu Dhabi,28.08
2008,Abu Dhabi,27.59
2009,Abu Dhabi,28.04
2010,Abu Dhabi,28.69
2011,Abu Dhabi,28.25
2012,Abu Dhabi,28.46
2013,Abu Dhabi,28.01
