year,g_temp,ad_temp
1843,8.17,26.04
1844,7.65,26.26
1845,7.85,
1846,8.55,
1847,8.09,
1848,7.98,25.83
1849,7.98,26.01
1850,7.90,25.69
1851,8.18,26.25
1852,8.10,
1853,8.04,
1854,8.21,
1855,8.11,
1856,8.00,
1857,7.76,
1858,8.10,
1859,8.25,
1860,7.96,
1861,7.85,25.10
1862,7.56,25.34
1863,8.11,23.62
1864,7.98,26.00
1865,8.18,26.26
1866,8.29,26.09
1867,8.44,26.44
1868,8.25,26.33
1869,8.43,26.51
1870,8.20,26.24
1871,8.12,26.17
1872,8.19,26.16
1873,8.35,26.42
1874,8.43,26.30
1875,7.86,26.13
1876,8.08,26.19
1877,8.54,26.59
1878,8.83,26.59
1879,8.17,26.09
1880,8.12,26.20
1881,8.27,26.75
1882,8.13,26.05
1883,7.98,26.30
1884,7.77,26.15
1885,7.92,26.10
1886,7.95,26.38
1887,7.91,26.08
1888,8.09,26.30
1889,8.32,26.61
1890,7.97,26.20
1891,8.02,26.43
1892,8.07,26.55
1893,8.06,26.36
1894,8.16,26.24
1895,8.15,25.98
1896,8.21,26.36
1897,8.29,26.29
1898,8.18,25.92
1899,8.40,26.57
1900,8.50,26.43
1901,8.54,26.53
1902,8.30,26.81
1903,8.22,25.88
1904,8.09,26.49
1905,8.23,26.30
1906,8.38,26.24
1907,7.95,26.17
1908,8.19,26.34
1909,8.18,26.57
1910,8.22,25.89
1911,8.18,25.62
1912,8.17,26.35
1913,8.30,26.45
1914,8.59,26.56
1915,8.59,26.90
1916,8.23,25.90
1917,8.02,26.04
1918,8.13,26.03
1919,8.38,26.24
1920,8.36,26.20
1921,8.57,26.06
1922,8.41,26.77
1923,8.42,26.32
1924,8.51,27.03
1925,8.53,26.26
1926,8.73,26.65
1927,8.52,26.35
1928,8.63,26.34
1929,8.24,26.60
1930,8.63,26.38
1931,8.72,26.54
1932,8.71,26.23
1933,8.34,26.06
1934,8.63,26.17
1935,8.52,26.44
1936,8.55,26.24
1937,8.70,26.22
1938,8.86,26.29
1939,8.76,26.13
1940,8.76,26.49
1941,8.77,26.88
1942,8.73,26.87
1943,8.76,26.42
1944,8.85,26.89
1945,8.58,26.45
1946,8.68,26.60
1947,8.80,26.85
1948,8.75,26.69
1949,8.59,26.29
1950,8.37,25.97
1951,8.63,26.69
1952,8.64,26.68
1953,8.87,26.89
1954,8.56,26.89
1955,8.63,26.62
1956,8.28,26.56
1957,8.73,26.26
1958,8.77,26.89
1959,8.73,26.43
1960,8.58,26.66
1961,8.80,26.57
1962,8.75,26.75
1963,8.86,26.61
1964,8.41,25.89
1965,8.53,26.63
1966,8.60,26.76
1967,8.70,26.47
1968,8.52,26.20
1969,8.60,27.09
1970,8.70,27.24
1971,8.60,26.47
1972,8.50,26.16
1973,8.95,26.54
1974,8.47,26.46
1975,8.74,26.49
1976,8.35,26.43
1977,8.85,27.43
1978,8.69,26.89
1979,8.73,26.96
1980,8.98,27.16
1981,9.17,26.93
1982,8.64,26.16
1983,9.03,26.19
1984,8.69,26.29
1985,8.66,26.63
1986,8.83,26.70
1987,8.99,26.91
1988,9.20,26.95
1989,8.92,26.38
1990,9.23,27.11
1991,9.18,26.46
1992,8.84,26.10
1993,8.87,27.02
1994,9.04,27.25
1995,9.35,26.75
1996,9.04,27.20
1997,9.20,26.87
1998,9.52,28.19
1999,9.29,28.16
2000,9.20,27.67
2001,9.41,27.82
2002,9.57,28.00
2003,9.53,28.12
2004,9.32,28.07
2005,9.70,27.90
2006,9.53,27.94
2007,9.73,28.08
2008,9.43,27.59
2009,9.51,28.04
2010,9.70,28.69
2011,9.52,28.25
2012,9.51,28.46
2013,9.61,28.01
